[2024/10/08-15:06:33.070] AZcmd, AZreal, ELcmd, ELreal, 298.601669, 298.599591, 38.987914, 38.987939
[2024/10/08-15:06:33.371] AZcmd, AZreal, ELcmd, ELreal, 298.583440, 298.581257, 39.034691, 39.034733
[2024/10/08-15:06:33.670] AZcmd, AZreal, ELcmd, ELreal, 298.565235, 298.563074, 39.081473, 39.081527
[2024/10/08-15:06:33.971] AZcmd, AZreal, ELcmd, ELreal, 298.547050, 298.544892, 39.128271, 39.128321
[2024/10/08-15:06:34.270] AZcmd, AZreal, ELcmd, ELreal, 298.528890, 298.526709, 39.175070, 39.175115
[2024/10/08-15:06:34.570] AZcmd, AZreal, ELcmd, ELreal, 298.510751, 298.508588, 39.221882, 39.221909
[2024/10/08-15:06:34.870] AZcmd, AZreal, ELcmd, ELreal, 298.492636, 298.490497, 39.268700, 39.268733
[2024/10/08-15:06:35.169] AZcmd, AZreal, ELcmd, ELreal, 298.474543, 298.472345, 39.315526, 39.315557
[2024/10/08-15:06:35.471] AZcmd, AZreal, ELcmd, ELreal, 298.456473, 298.454375, 39.362362, 39.362412
[2024/10/08-15:06:35.771] AZcmd, AZreal, ELcmd, ELreal, 298.438428, 298.436253, 39.409200, 39.409267
[2024/10/08-15:06:36.070] AZcmd, AZreal, ELcmd, ELreal, 298.420405, 298.418284, 39.456049, 39.456122
[2024/10/08-15:06:36.370] AZcmd, AZreal, ELcmd, ELreal, 298.402404, 298.400223, 39.502908, 39.502946
[2024/10/08-15:06:36.670] AZcmd, AZreal, ELcmd, ELreal, 298.384426, 298.382284, 39.549775, 39.549861
[2024/10/08-15:06:36.970] AZcmd, AZreal, ELcmd, ELreal, 298.366472, 298.364345, 39.596647, 39.596716
[2024/10/08-15:06:37.271] AZcmd, AZreal, ELcmd, ELreal, 298.348541, 298.346436, 39.643528, 39.643601
[2024/10/08-15:06:37.570] AZcmd, AZreal, ELcmd, ELreal, 298.330635, 298.328466, 39.690413, 39.690486
[2024/10/08-15:06:37.871] AZcmd, AZreal, ELcmd, ELreal, 298.312749, 298.310649, 39.737312, 39.737402
[2024/10/08-15:06:38.169] AZcmd, AZreal, ELcmd, ELreal, 298.294888, 298.292740, 39.784214, 39.784318
[2024/10/08-15:06:38.470] AZcmd, AZreal, ELcmd, ELreal, 298.277048, 298.274953, 39.831131, 39.831233
[2024/10/08-15:06:38.768] AZcmd, AZreal, ELcmd, ELreal, 298.259234, 298.257105, 39.878047, 39.878149
[2024/10/08-15:06:39.070] AZcmd, AZreal, ELcmd, ELreal, 298.241440, 298.239409, 39.924980, 39.925064
[2024/10/08-15:06:39.370] AZcmd, AZreal, ELcmd, ELreal, 298.223673, 298.221622, 39.971910, 39.972010
[2024/10/08-15:06:39.670] AZcmd, AZreal, ELcmd, ELreal, 298.205928, 298.203865, 40.018853, 40.018956
[2024/10/08-15:06:39.970] AZcmd, AZreal, ELcmd, ELreal, 298.188206, 298.186139, 40.065804, 40.065902
[2024/10/08-15:06:40.268] AZcmd, AZreal, ELcmd, ELreal, 298.170508, 298.168412, 40.112761, 40.112878
[2024/10/08-15:06:40.570] AZcmd, AZreal, ELcmd, ELreal, 298.152829, 298.150807, 40.159734, 40.159855
[2024/10/08-15:06:40.871] AZcmd, AZreal, ELcmd, ELreal, 298.135180, 298.133233, 40.206703, 40.206801
[2024/10/08-15:06:41.170] AZcmd, AZreal, ELcmd, ELreal, 298.117552, 298.115598, 40.253681, 40.253777
[2024/10/08-15:06:41.470] AZcmd, AZreal, ELcmd, ELreal, 298.099946, 298.098024, 40.300675, 40.300784
[2024/10/08-15:06:41.769] AZcmd, AZreal, ELcmd, ELreal, 298.082365, 298.080449, 40.347669, 40.347791
[2024/10/08-15:06:42.071] AZcmd, AZreal, ELcmd, ELreal, 298.064806, 298.062875, 40.394677, 40.394797
[2024/10/08-15:06:42.370] AZcmd, AZreal, ELcmd, ELreal, 298.047273, 298.045331, 40.441685, 40.441804
[2024/10/08-15:06:42.670] AZcmd, AZreal, ELcmd, ELreal, 298.029761, 298.027878, 40.488707, 40.488811
[2024/10/08-15:06:42.970] AZcmd, AZreal, ELcmd, ELreal, 298.012274, 298.010334, 40.535734, 40.535848
[2024/10/08-15:06:43.269] AZcmd, AZreal, ELcmd, ELreal, 297.994810, 297.992851, 40.582770, 40.582885
[2024/10/08-15:06:43.571] AZcmd, AZreal, ELcmd, ELreal, 297.977368, 297.975429, 40.629816, 40.629922
[2024/10/08-15:06:43.868] AZcmd, AZreal, ELcmd, ELreal, 297.959953, 297.958037, 40.676863, 40.676959
[2024/10/08-15:06:44.169] AZcmd, AZreal, ELcmd, ELreal, 297.942558, 297.940645, 40.723929, 40.724027
[2024/10/08-15:06:44.470] AZcmd, AZreal, ELcmd, ELreal, 297.925189, 297.923284, 40.770993, 40.771095
[2024/10/08-15:06:44.769] AZcmd, AZreal, ELcmd, ELreal, 297.907845, 297.905922, 40.818064, 40.818162
[2024/10/08-15:06:45.072] AZcmd, AZreal, ELcmd, ELreal, 297.890522, 297.888652, 40.865148, 40.865230
[2024/10/08-15:06:45.371] AZcmd, AZreal, ELcmd, ELreal, 297.873227, 297.871321, 40.912229, 40.912328
[2024/10/08-15:06:45.668] AZcmd, AZreal, ELcmd, ELreal, 297.855953, 297.854020, 40.959326, 40.959426
[2024/10/08-15:06:45.969] AZcmd, AZreal, ELcmd, ELreal, 297.838699, 297.836841, 41.006439, 41.006554
